,name,rating,number of review,about
57,HCL Group,3.8,5k,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +65 more
58,UltraTech Cement,4.2,5k,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +393 more
59,Udaan,4.0,5k,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +328 more
60,Lupin,4.1,4.9k,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +148 more
61,Bandhan Bank,3.8,4.8k,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +661 more
62,Paytm,3.5,4.8k,FinTech | 5k-10k Employees | Public | 13 years old | Noida +270 more
63,Bajaj Finance,4.1,4.8k,NBFC | 10k-50k Employees | 36 years old | Pune +700 more
64,L&T Infotech,3.8,4.7k,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +72 more
65,ITC,3.9,4.6k,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +273 more
66,AU Small Finance Bank,4.2,4.6k,Financial Services | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +342 more
67,Indian Army,4.7,4.6k,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +292 more
68,JP Morgan Chase,4.2,4.4k,10k-50k Employees | Forbes Global 2000 | 23 years old | New York +29 more
69,FIS,3.9,4.4k,IT Services & Consulting | 5k-10k Employees | 55 years old | Jacksonville +36 more
70,Wells Fargo,4.2,4.4k,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more
71,Hindustan Unilever,4.2,4.4k,FMCG | 10k-50k Employees | Public | 151 years old | London +397 more
72,Delhivery,4.0,4.4k,Logistics | 10k-50k Employees | Fortune India 500 | 12 years old | Delhi +551 more
73,IIFL Finance,3.8,4.3k,Financial Services | 10k-50k Employees | Public | 28 years old | Mumbai +591 more
74,Amazon Development Centre India,4.2,4.2k,Hyderabad/Secunderabad +49 more
75,Quess,3.9,4.2k,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +450 more
76,Home Credit Finance,4.1,4.1k,Financial Services | 5k-10k Employees | 11 years old | Gurugram +108 more
77,TATA Steel,4.1,4.1k,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +136 more
78,Sun Pharmaceutical Industries,4.1,4.1k,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +172 more
79,KPMG India,3.6,4.1k,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +70 more
80,Hexaware Technologies,3.7,4.1k,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +34 more
81,Ujjivan Small Finance Bank,4.1,4k,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +400 more
82,OPPO,3.9,4k,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +352 more
83,JSW Steel,3.9,3.9k,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +113 more
84,Shapoorji Pallonji Group,4.2,3.9k,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +149 more
85,Shriram Transport Finance,4.1,3.9k,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +740 more
86,Max Life Insurance,4.1,3.9k,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +346 more
87,Ashok Leyland,4.1,3.9k,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +195 more
88,Muthoot Finance,3.6,3.9k,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +562 more
89,Oracle,3.9,3.9k,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +37 more
90,Vivo,4.0,3.8k,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +351 more
91,Aurobindo Pharma,4.0,3.8k,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +55 more
92,eClerx,3.5,3.8k,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +16 more
93,Apollo Hospitals,4.1,3.8k,Healthcare | 50k-1 Lakh Employees | Public | 40 years old | Chennai +169 more
94,Siemens,4.2,3.8k,Power | 5k-10k Employees | Public | 176 years old | Munich +115 more
95,Zydus Cadila,4.2,3.8k,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +121 more
96,Tata Projects,4.2,3.8k,Engineering & Construction | 10k-50k Employees | Public | 44 years old | Mumbai +222 more
97,Capgemini Technology Services India Limited,4.0,3.8k,Bengaluru/Bangalore +31 more
98,JLL,4.2,3.7k,Real Estate | 5k-10k Employees | Forbes Global 2000 | 26 years old | Mumbai +64 more
99,First Source,3.8,3.7k,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +49 more
100,Hero MotoCorp,4.2,3.6k,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +291 more
101,JustDial,3.6,3.6k,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +153 more
102,Hewlett-Packard Enterprise,4.3,3.6k,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +89 more
103,Mahindra & Mahindra Financial Services,4.3,3.5k,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +604 more
104,Omega Healthcare,3.7,3.5k,IT Services & Consulting | 5k-10k Employees | 19 years old | Florida +31 more
105,L&T Construction,4.0,3.5k,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +289 more
106,Cyient,3.7,3.5k,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +27 more
107,Megha Engineering & Infrastructures,4.1,3.4k,Engineering & Construction | 1k-5k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +250 more
108,Bajaj Allianz Life Insurance,4.1,3.4k,Insurance | 10k-50k Employees | 22 years old | Pune +466 more
109,D Mart,3.9,3.3k,Retail | 10k-50k Employees | Fortune India 500 | 4 years old | Mumbai +197 more
110,Hyundai Motor,4.3,3.3k,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +248 more
111,Reliance Communications,3.9,3.3k,Telecom | 10k-50k Employees | Public | 21 years old | Navi Mumbai +399 more
112,TVS Motor,4.0,3.3k,Automobile | 10k-50k Employees | Public | 44 years old | Chennai +250 more
113,BigBasket,4.0,3.3k,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +99 more
114,Indiamart Intermesh,3.6,3.2k,Internet | 10k-50k Employees | 27 years old | Noida +121 more
115,Oyo Rooms,3.4,3.2k,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +110 more
116,Bosch,4.3,3.2k,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more
