,name,rating,number of review,about
691,Majorel,4.5,885,"BPO | 201-500 Employees | 4 years old | Luxembourg
 +8 more"
692,Synchrony,4.4,881,Financial Services | 1k-5k Employees | Forbes Global 2000 | 20 years old | Stamford +7 more
693,Lumax Industries,3.9,880,Auto Components | 1k-5k Employees | Public | 78 years old | Pune +26 more
694,HighRadius,3.1,880,FinTech | 1k-5k Employees | 17 years old | Houston +9 more
695,Iffco Tokio General Insurance Co.,4.1,880,Insurance | 1k-5k Employees | 23 years old | Gurgaon/Gurugram +208 more
696,Bisleri,4.2,877,FMCG | 1k-5k Employees | 58 years old | Mumbai +119 more
697,Bharat FIH,4.0,876,5k-10k Employees | Chennai +23 more
698,GE,4.3,874,Engineering & Construction | 1k-5k Employees | Forbes Global 2000 | 131 years old | Boston +51 more
699,SKF,3.9,873,Auto Components | 1k-5k Employees | Public | 100 years old | Gothenburg +54 more
700,Altisource,3.6,873,Real Estate | 1k-5k Employees | 16 years old | Bangalore/Bengaluru +9 more
701,AGS Transact Technologies,3.4,873,FinTech | 1k-5k Employees | 21 years old | Mumbai +92 more
702,Pine Labs,3.8,869,FinTech | 1k-5k Employees | Indian Unicorn | 25 years old | Noida +67 more
703,Best Sellers,4.2,869,Fashion & Textile | 1k-5k Employees | 48 years old | Brande +74 more
704,Nexa,4.1,865,Automobile | 1k-5k Employees | 8 years old | Delhi/NCR +177 more
705,Karma Ayurveda,4.5,865,Healthcare | 201-500 Employees | New Delhi +1 more
706,EPAM Systems,3.8,863,IT Services & Consulting | 1k-5k Employees | 30 years old | Newtown +13 more
707,IFB,3.7,862,Consumer Electronics & Appliances | 201-500 Employees | Public | 49 years old | Kolkata +123 more
708,Cargill,4.3,861,Food Processing | 1k-5k Employees | Conglomerate | 158 years old | Wayzata +80 more
709,FDC,3.9,860,Pharma | 1k-5k Employees | Public | 83 years old | Mumbai +86 more
710,DENSO,4.1,858,Auto Components | 1k-5k Employees | Public | 76 years old | Kariya +34 more
711,Annapurna Finance,4.1,857,Financial Services | 5k-10k Employees | 14 years old | Bhubaneswar +220 more
712,DISH TV,3.7,856,Media & Entertainment | 1k-5k Employees | Public | 20 years old | Noida +127 more
713,Atul,4.0,855,Chemicals | 1k-5k Employees | Public | 76 years old | Valsad +49 more
714,Consolidated Contractors,4.5,850,Engineering & Construction | 1k-5k Employees | Public | 71 years old | Marousi +44 more
715,BVG India,3.9,847,Facility Management Services | 50k-1 Lakh Employees | 26 years old | Pune +79 more
716,Devyani International,3.7,847,Retail | 5k-10k Employees | Public | 32 years old | Gurgaon/Gurugram +79 more
717,Vestas,4.2,845,Power | 1k-5k Employees | Forbes Global 2000 | 78 years old | Aarhus +38 more
718,Fidelity National Financial,3.8,845,Financial Services | 1k-5k Employees | Forbes Global 2000 | 176 years old | Bangalore Rural +7 more
719,Punj Lloyd,4.4,842,Engineering & Construction | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +67 more
720,Ola Electric Mobility,3.2,839,Internet | 1k-5k Employees | Indian Unicorn | 6 years old | Bangalore +107 more
721,Valeo,4.0,838,Auto Components | 5k-10k Employees | Forbes Global 2000 | 100 years old | Paris +17 more
722,Fino Payments Bank,4.1,838,FinTech | 1k-5k Employees | 17 years old | Mumbai +191 more
723,TaskUs,3.6,838,BPO | 1k-5k Employees | 15 years old | New Braunfels +13 more
724,Fresenius Kabi,4.1,837,Healthcare | 1k-5k Employees | 111 years old | Pune +56 more
725,Luminous Power Technologies,4.2,836,Electrical Equipment | 1k-5k Employees | 35 years old | Gurgaon/Gurugram +102 more
726,Medhaj Techno Concept,4.3,832,Management Consulting | 1k-5k Employees | 16 years old | Lucknow +126 more
727,Gannon Dunkerley,3.8,830,Engineering & Construction | 1k-5k Employees | 99 years old | Mumbai +59 more
728,Shriram Pistons & Rings,4.1,830,Auto Components | 1k-5k Employees | Public | 60 years old | Delhi/NCR +44 more
729,Shadowfax Technologies,3.6,830,Logistics | 1k-5k Employees | Public | 8 years old | Bangalore +128 more
730,Amneal Pharmaceuticals,4.3,829,Pharma | 1k-5k Employees | 21 years old | Bridgewater +21 more
731,Burger King,3.9,828,Hospitality | 5k-10k Employees | 9 years old | Miami +74 more
732,NEC,4.5,827,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 124 years old | Noida +34 more
733,NeoSOFT,3.8,827,IT Services & Consulting | 1k-5k Employees | 27 years old | Mumbai +16 more
734,Serco,4.3,826,Analytics & KPO | 5k-10k Employees | 35 years old | Hook +38 more
735,Newgen Software Technologies,3.5,823,IT Services & Consulting | 1k-5k Employees | Public | 31 years old | New Delhi +21 more
736,GAIL,4.4,817,Oil & Gas | 1k-5k Employees | Fortune India 500 | 39 years old | Delhi/NCR +81 more
737,ECIL,4.1,817,Defence & Aerospace | 501-1k Employees | Public | 56 years old | Hyderabad/Secunderabad +39 more
738,FastInfo,4.5,816,EdTech | 501-1k Employees | Startup | 4 years old | Kolkata +7 more
739,Oil And Natural Gas Corporation,4.4,816,Oil & Gas | 10k-50k Employees | Public | 67 years old | Delhi/NCR +58 more
740,Johnson Lifts,4.0,815,Industrial Machinery | 1k-5k Employees | 42 years old | Chennai +58 more
741,Zf Rane Automotive,4.0,815,Auto Components | 51-200 Employees | Chennai +39 more
742,Arvind Lifestyle Brands,4.3,814,Bengaluru/Bangalore +85 more
743,Adani Group,3.9,814,Power | 10k-50k Employees | Public | 35 years old | Ahmedabad +98 more
744,JW Marriott,4.2,813,Hospitality | 1k-5k Employees | 96 years old | Bethesda +37 more
745,Piaggio,3.7,813,Automobile | 1k-5k Employees | 139 years old | Pontedera +65 more
746,Redcliffe Labs,4.5,811,Healthcare | 1k-5k Employees | 4 years old | Gurgaon +46 more
747,PharmEasy,3.7,809,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Mumbai +49 more
748,iSON Xperiences,3.5,808,BPO | 5k-10k Employees | 12 years old | Lagos +29 more
749,SAI Life Sciences,3.8,807,Pharma | 1k-5k Employees | Public | 24 years old | Hyderabad +12 more
750,XcelServ Solutions,4.6,806,IT Services & Consulting | 501-1k Employees | 12 years old | Las Vegas +34 more
751,JioMart,3.8,806,51-200 Employees | Kolkata +212 more
752,Nielsen,3.9,804,Analytics & KPO | 1k-5k Employees | 100 years old | New York City +71 more
753,Wheelseye Technology,3.8,804,Logistics | 11-50 Employees | Startup | 6 years old | Gurgaon +145 more
754,ManpowerGroup,3.9,801,Recruitment | 50k-1 Lakh Employees | Forbes Global 2000 | 28 years old | New Delhi +105 more
755,Sahara India Pariwar,3.8,801,Broadcasting | 5k-10k Employees | Conglomerate | 45 years old | Lucknow +211 more
756,Bharat Sanchar Nigam,3.9,801,Telecom | 50k-1 Lakh Employees | Central | 23 years old | Delhi/NCR +191 more
757,LivSpace,3.5,800,Architecture & Interior Design | 1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +32 more
758,Tenneco,3.8,800,Auto Components | 1k-5k Employees | Forbes Global 2000 | 83 years old | Lake Forest +30 more
759,Petrofac,4.4,798,Oil & Gas | 1k-5k Employees | 42 years old | Jermyn Street +32 more
760,Tikona Infinet,3.7,797,Telecom | 1k-5k Employees | 15 years old | Mumbai +43 more
761,Gujarat Fluorochemicals,4.1,797,Chemicals | 5k-10k Employees | Fortune India 500 | 36 years old | Noida +21 more
762,Paytm Payments Bank,3.9,796,FinTech | 1k-5k Employees | Public | 7 years old | Noida +96 more
763,Indegene,3.7,795,Analytics & KPO | 1k-5k Employees | 25 years old | Princeton +18 more
764,Wind World,4.0,795,Power | 5k-10k Employees | 29 years old | Mumbai +55 more
765,Amara Raja Batteries,4.2,792,Auto Components | Fortune India 500 | Tirupati +55 more
766,Vertex Customer Solutions,3.6,792,IT Services & Consulting | 5k-10k Employees | 13 years old | Panchkula +30 more
767,Bajaj Motors,3.8,792,Automobile | 5k-10k Employees | 37 years old | Gurgaon +56 more
768,Intertek,3.8,792,Other | 1k-5k Employees | 26 years old | London +68 more
769,Vibgyor High School,3.7,791,Education & Training | 1k-5k Employees | 19 years old | Mumbai +23 more
770,Spencer's Retail,4.0,790,Retail | 1k-5k Employees | Public | 160 years old | Kolkata +55 more
771,Clover Infotech,3.6,789,IT Services & Consulting | 1k-5k Employees | 29 years old | Mumbai +14 more
772,Continental Automotive Components,4.3,788,Auto Components | 5k-10k Employees | 152 years old | Lower Saxony +16 more
773,Mahindra CIE Automotive,3.7,787,Auto Components | 1k-5k Employees | Public | 24 years old | Mumbai +33 more
774,Zydus Lifesciences,4.0,787,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +43 more
775,TUV SUD,3.9,786,Management Consulting | 1k-5k Employees | 157 years old | Munich +75 more
776,Schindler,3.9,786,1k-5k Employees | Pune +50 more
777,Mondelez International,4.5,786,Food Processing | 1k-5k Employees | Forbes Global 2000 | 11 years old | Greater Chicago Area +115 more
778,PNB Housing Finance,3.9,785,NBFC | 1k-5k Employees | Public | 35 years old | Delhi/NCR +105 more
779,iQor Global Services,3.6,785,BPO | 1k-5k Employees | 25 years old | Saint Petersburg +49 more
780,Goldman Sachs,3.7,784,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | 20 years old | New York +14 more
781,Volkswagen,4.2,782,Automobile | 1k-5k Employees | Forbes Global 2000 | 22 years old | Mumbai +88 more
782,Apco Infratech,3.8,779,Engineering & Construction | 1k-5k Employees | 31 years old | Lucknow +54 more
783,Jaquar,4.1,777,Furniture & Furnishing | 1k-5k Employees | 63 years old | Gurgaon +81 more
784,Infogain,3.7,774,IT Services & Consulting | 1k-5k Employees | 33 years old | Los Gatos +13 more
785,United Alliance Technology,4.9,774,IT Services & Consulting | Pune +9 more
786,Eureka Outsourcing Solutions,3.1,773,BPO | 1k-5k Employees | 21 years old | Thane +18 more
787,Slk Software Services,3.6,773,IT Services & Consulting | 1k-5k Employees | 23 years old | Bangalore/Bengaluru +9 more
788,Eaton Corporation,4.0,773,Power | 5k-10k Employees | Public | 112 years old | Cleveland +15 more
789,Xyz Company,3.8,771,Financial Services | 51-200 Employees (Global) | Mumbai +81 more
790,IndiaFirst Life Insurance,4.2,770,Insurance | 1k-5k Employees | 14 years old | Mumbai +151 more
791,Suryoday Small Finance Bank,4.0,770,Banking | 1k-5k Employees | 15 years old | Mumbai +134 more
792,Tata 1mg,3.7,769,Internet | 1k-5k Employees | 8 years old | Gurgaon +46 more
793,QualityKiosk Technologies,3.7,769,IT Services & Consulting | 1k-5k Employees | 23 years old | Mumbai +13 more
794,HARMAN,3.9,768,Consumer Electronics & Appliances | 5k-10k Employees | Public | 14 years old | Stamford +22 more
795,NSH,3.6,768,Engineering & Construction | 501-1k Employees | 45 years old | Al Jubail +32 more
796,Episource,3.8,767,IT Services & Consulting | 1k-5k Employees | 17 years old | Gardena +10 more
797,Siemens Gamesa Renewable Energy,4.1,766,Power | 1k-5k Employees | 47 years old | Chennai +47 more
798,Jubilant Pharmova,4.0,766,Pharma | 1k-5k Employees | Public | 45 years old | Noida +47 more
799,Spinny,4.0,763,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Gurgaon +35 more
800,Sansera Engineering,4.1,762,Auto Components | 501-1k Employees | Public | 37 years old | Bangalore/Bengaluru +17 more
801,Podar International School,4.3,761,Education & Training | 5k-10k Employees | 96 years old | Mumbai +96 more
802,AIIMS,4.2,761,Healthcare | 5k-10k Employees | 67 years old | Delhi/NCR +44 more
803,JSW Cement,4.0,760,Building Material | 1k-5k Employees | Conglomerate | 14 years old | Mumbai +95 more
804,Thyrocare Technologies,3.4,760,Healthcare | 1k-5k Employees | Public | 27 years old | Mumbai +49 more
805,Adobe,4.2,760,Software Product | 5k-10k Employees | Public | 26 years old | San Jose +14 more
806,Aditya Birla Health Insurance Co,3.8,759,Insurance | 1k-5k Employees | 8 years old | Mumbai +141 more
807,Strides Pharma,3.8,759,Pharma | 201-500 Employees | Public | 33 years old | Bangalore/Bengaluru +30 more
808,Mando Automotive,3.9,758,Auto Components | 1k-5k Employees | Fortune India 500 | 17 years old | Kanchipuram +17 more
809,Atos Global IT Solutions And Services,4.0,757,IT Services & Consulting | 5k-10k Employees | 23 years old | Navi Mumbai +15 more
810,Tietoevry,4.1,755,IT Services & Consulting | 1k-5k Employees | Public | 55 years old | Helsinki +8 more
811,Sri Chaitanya Educational Institutions,3.7,754,Education & Training | 51-200 Employees | 37 years old | Hyderabad/Secunderabad +69 more
812,Intex Technologies,3.7,752,Consumer Electronics & Appliances | 1k-5k Employees | Public | 27 years old | Delhi/NCR +70 more
813,Godrej Consumer Products,4.2,751,FMCG | 1k-5k Employees | Public | 22 years old | Mumbai +97 more
814,Sunknowledge Services,4.1,750,Healthcare | 51-200 Employees | 17 years old | New York +6 more
815,Decathlon,4.0,749,Retail | 1k-5k Employees | 47 years old | Lille +60 more
816,Coca-Cola Company,4.3,749,Marketing & Advertising | 201-500 Employees | Forbes Global 2000 | 137 years old | Atlanta +148 more
817,Tata AutoComp Systems,3.9,748,Auto Components | 1k-5k Employees | Public | 25 years old | Pune +26 more
818,Kendriya Vidyalaya Sangathan,4.4,746,Education & Training | 10k-50k Employees | Public | 60 years old | Delhi/NCR +185 more
819,Automotive Manufacturers,4.2,745,Automobile | 1k-5k Employees | 75 years old | Mumbai +108 more
820,Dhoot Transmission,3.5,745,Power | 201-500 Employees | 25 years old | Mumbai +18 more
821,Apexon,3.3,744,IT Services & Consulting | 1k-5k Employees | 27 years old | Santa Clara +15 more
822,Hinduja Leyland Finance,4.0,744,FinTech | 1k-5k Employees | 17 years old | Chennai +210 more
823,TechnipFMC,3.9,742,Oil & Gas | 1k-5k Employees | 6 years old | Paris +38 more
824,TE Connectivity,4.1,741,Consumer Electronics & Appliances | 501-1k Employees | Forbes Global 2000 | 82 years old | Schaffhausen +11 more
825,Hatsun Agro Product,4.0,740,FMCG | 1k-5k Employees | Public | 53 years old | Chennai +84 more
826,Rockman Industries,3.8,739,Auto Components | 1k-5k Employees | 63 years old | Delhi/NCR +28 more
827,Worley,4.0,738,Engineering & Construction | 1k-5k Employees | 52 years old | North Sydney +34 more
828,BGR Energy Systems,3.9,736,Oil & Gas | 1k-5k Employees | Public | 38 years old | Chennai +45 more
829,K12 Techno Services,3.0,736,EdTech | 1k-5k Employees | 13 years old | Bangalore/Bengaluru +25 more
830,Viraj Profiles,3.7,735,Iron & Steel | 1k-5k Employees | 23 years old | Mumbai +15 more
831,Kirloskar Oil Engines,4.1,735,Industrial Machinery | 1k-5k Employees | Public | 77 years old | Pune +73 more
832,Lemon Tree Hotels,4.1,734,Hospitality | 1k-5k Employees | Public | 21 years old | Delhi/NCR +56 more
833,Schaeffler India,4.1,733,Auto Components | 1k-5k Employees | Public | 77 years old | Mumbai +20 more
834,1point1 Solutions,3.4,733,BPO | 5k-10k Employees | Public | 15 years old | Navi Mumbai +14 more
835,Infinx,3.7,732,IT Services & Consulting | 1k-5k Employees | 11 years old | Mumbai +21 more
836,Apotex Research,4.4,732,Pharma | 201-500 Employees | 20 years old | Brantford +12 more
837,JK Lakshmi Cement,3.9,731,Building Material | 1k-5k Employees | Public | 41 years old | Delhi/NCR +103 more
838,RBL FinServe,4.1,731,Financial Services | 5k-10k Employees | 18 years old | Mumbai +249 more
839,Vistaar Finance,4.2,730,NBFC | 1k-5k Employees | 13 years old | Bengaluru/Bangalore +159 more
840,R Systems International,3.5,730,IT Services & Consulting | 1k-5k Employees | Public | 30 years old | El Dorado Hills +11 more
841,MDIndia Health Insurance TPA,3.9,727,Insurance | 5k-10k Employees | 23 years old | Pune +68 more
842,VMware Software,4.3,727,Software Product | 5k-10k Employees | Forbes Global 2000 | 25 years old | Palo Alto +12 more
843,SLK Global Services,3.9,726,IT Services & Consulting | 51-200 Employees | 23 years old | Dallas +8 more
844,Wistron,3.8,726,Electronics Manufacturing | 201-500 Employees | Forbes Global 2000 | 22 years old | Taipei +11 more
845,Onward Technologies Inc,3.3,725,IT Services & Consulting | 1k-5k Employees | Public | 32 years old | Mumbai +59 more
846,Parexel International,4.1,725,Healthcare | 1k-5k Employees | 41 years old | Massachusetts +7 more
847,Novo Nordisk,4.0,724,Pharma | 1k-5k Employees | Forbes Global 2000 | 100 years old | New York City +56 more
848,Aarvee Associates,3.8,724,Engineering & Construction | 1k-5k Employees | 34 years old | Hyderabad/Secunderabad +117 more
849,Morningstar,4.1,723,Financial Services | 1k-5k Employees | 39 years old | Chicago +12 more
850,Foxconn,4.0,723,Electronics Manufacturing | 10k-50k Employees | 49 years old | Taipei +29 more
851,PNC Infratech,3.9,722,Engineering & Construction | 5k-10k Employees | Public | 24 years old | Delhi/NCR +68 more
852,Shubham Housing Development Finance,4.1,721,NBFC | 10k-50k Employees | 13 years old | Gurgaon +98 more
853,Ceasefire Industries,3.3,721,Industrial Machinery | 1k-5k Employees | 21 years old | Noida +65 more
854,Godrej Properties,3.7,721,Real Estate | 1k-5k Employees | Public | 33 years old | Mumbai +24 more
855,V2 Retail,3.5,718,Fashion & Textile | 1k-5k Employees | Public | 22 years old | Delhi/NCR +80 more
856,Shriram Life Insurance,4.0,717,Insurance | 1k-5k Employees | Conglomerate | 18 years old | Hyderabad/Secunderabad +195 more
857,Dixon Technologies,4.0,717,Consumer Electronics & Appliances | 1k-5k Employees | Public | 30 years old | Noida +30 more
858,Gallagher Service Center,3.9,717,BPO | 5k-10k Employees | Bengaluru/Bangalore +6 more
859,Hyundai Mobis,3.8,715,Auto Components | 1k-5k Employees | Forbes Global 2000 | 6 years old | Kanchipuram +37 more
860,Power Grid Corporation of India,4.4,714,Power | 5k-10k Employees | Fortune India 500 | 34 years old | Gurgaon/Gurugram +167 more
861,Barbeque Nation,4.0,714,Retail | 5k-10k Employees | 17 years old | Bangalore/Bengaluru +59 more
862,Canara Bank,3.4,713,Banking | 50k-1 Lakh Employees | Public | 117 years old | Bangalore/Bengaluru +133 more
863,DCM Shriram,4.2,712,Chemicals | 1k-5k Employees | Public | 33 years old | Delhi/NCR +65 more
864,Altimetrik,3.9,711,IT Services & Consulting | 1k-5k Employees | 11 years old | Southfield +9 more
865,Hathway,3.7,710,Media & Entertainment | 1k-5k Employees | 64 years old | Mumbai +45 more
866,Feedback Infrastructure Services,3.5,710,Engineering & Construction | 5k-10k Employees | 33 years old | Gurgaon/Gurugram +110 more
867,Tata Chemicals,4.1,710,Chemicals | 1k-5k Employees | Public | 84 years old | Mumbai +75 more
868,Alstom,3.9,708,Urban Transport | 5k-10k Employees | Forbes Global 2000 | 95 years old | Saint-Ouen +48 more
869,The Ramco Cements,4.2,708,Building Material | 1k-5k Employees | Public | 62 years old | Chennai +79 more
870,Dana Anand,4.2,706,Auto Components | 1k-5k Employees | 30 years old | Delhi/NCR +37 more
871,Sonata Software,3.8,706,IT Services & Consulting | 1k-5k Employees | Public | 37 years old | Bangalore/Bengaluru +11 more
872,Shalby Hospitals,4.6,706,Healthcare | 1k-5k Employees | Public | 29 years old | Ahmedabad +19 more
873,TK Elevator,4.0,706,Industrial Machinery | 1k-5k Employees | 28 years old | Essen +63 more
874,Urban Company,3.6,706,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Gurgaon +43 more
875,OM Logistics,4.1,704,Logistics | 1k-5k Employees | 24 years old | Delhi/NCR +94 more
876,Provana,3.8,702,Software Product | 501-1k Employees | 12 years old | Lisle +3 more
877,Ion Exchange India,3.8,702,Waste Management | 1k-5k Employees | Public | 59 years old | Mumbai +72 more
878,Intel,4.3,702,Semiconductors | 10k-50k Employees | Public | 55 years old | Santa Clara +21 more
879,Bosch Chassis Systems,4.2,701,Auto Components | 1k-5k Employees | 72 years old | Gerlingen +19 more
880,Spandana Sphoorty Financial,3.6,700,NBFC | 10k-50k Employees | Public | 25 years old | Hyderabad/Secunderabad +204 more
881,Unicharm,4.2,699,Beauty & Personal Care | 1k-5k Employees | Forbes Global 2000 | 62 years old | Mita +121 more
882,Edelweiss Tokio Life Insurance,3.9,698,Financial Services | 1k-5k Employees | 12 years old | Mumbai +109 more
883,Fluor Corporation,4.3,697,Forbes Global 2000 | Gurgaon/Gurugram +20 more
884,FLSmidth,3.7,695,Industrial Machinery | 1k-5k Employees | 141 years old | Copenhagen +19 more
885,Capacit'e Infraprojects,3.6,695,Engineering & Construction | 501-1k Employees | Public | 11 years old | Mumbai +29 more
886,Hindustan Zinc,3.8,693,Metals & Mining | 1k-5k Employees | Public | 57 years old | Udaipur +23 more
887,Kirloskar Brothers,4.0,693,Industrial Machinery | 1k-5k Employees | Public | 135 years old | Pune +48 more
888,Barclays Global Service Centre,4.1,692,IT Services & Consulting | 201-500 Employees | Fortune India 500 | 16 years old | Pune +11 more
889,Sundaram Clayton,4.0,691,Auto Components | 1k-5k Employees | Public | 61 years old | Chennai +22 more
890,UBS,3.9,691,Financial Services | 5k-10k Employees | Forbes Global 2000 | 8 years old | Zurich +25 more
891,Next Education India,3.6,690,EdTech | 1k-5k Employees | 16 years old | Hyderabad/Secunderabad +75 more
892,Tube Investments of India,4.0,687,Engineering & Construction | 1k-5k Employees | Public | 74 years old | Chennai +47 more
893,Fidelity Investment,4.4,687,Financial Services | 5k-10k Employees | 77 years old | Boston +11 more
894,Pricol,4.0,686,Auto Components | 1k-5k Employees | Public | 48 years old | Coimbatore +21 more
895,Nilkamal,3.9,686,Furniture & Furnishing | 1k-5k Employees | Public | 42 years old | Mumbai +86 more
896,Toppr,3.4,685,EdTech | 1k-5k Employees | Startup | 10 years old | Mumbai +43 more
897,ThyssenKrupp Industries India,4.1,685,Industrial Machinery | 1k-5k Employees | Conglomerate | 76 years old | Pune +40 more
898,Nirma,4.3,684,Chemicals | 10k-50k Employees | Fortune India 500 | 33 years old | Ahmedabad +50 more
899,Colgate Palmolive,4.2,683,FMCG | 1k-5k Employees | Public | 86 years old | New York +89 more
900,VIP Industries,3.9,682,Retail | 1k-5k Employees | Public | 52 years old | Mumbai +79 more
901,Orion Edutech,3.1,681,EdTech | 5k-10k Employees | 17 years old | Kolkata +102 more
902,AstraZeneca,4.2,680,IT Services & Consulting | 1k-5k Employees | Public | 24 years old | Cambridge +34 more
903,Hitachi Astemo,4.1,679,Auto Components | 1k-5k Employees | Neemrana +22 more
904,Trade India (Infocom Network Private Limited),3.3,678,Internet | 1k-5k Employees | 27 years old | Noida +34 more
905,Airtel Payments Bank,4.2,677,FinTech | 501-1k Employees | Public | 7 years old | Delhi/NCR +176 more
906,Columbia Asia,4.4,676,Healthcare | 1k-5k Employees | 18 years old | Bangalore/Bengaluru +21 more
907,Pizza Hut,4.0,675,Hospitality | 1k-5k Employees | 65 years old | Plano +88 more
908,Visionet Systems,3.2,675,IT Services & Consulting | 1k-5k Employees | 28 years old | Cranbury +9 more
909,CSB Bank,3.4,675,Banking | 1k-5k Employees | 103 years old | Thrissur/Trichur +126 more
910,iMerit,3.9,673,Software Product | 1k-5k Employees | Startup | 11 years old | Kolkata +9 more
911,Chetu,3.4,673,IT Services & Consulting | 1k-5k Employees | 23 years old | Sunrise +4 more
912,Gmmco,4.1,672,Real Estate | 1k-5k Employees | 56 years old | Chennai +74 more
913,Sundaram Finance,4.2,671,NBFC | 1k-5k Employees | Public | 69 years old | Chennai +194 more
914,CarDekho,3.6,668,Internet | 1k-5k Employees | Indian Unicorn | 15 years old | Jaipur +57 more
915,eClinicalWorks,4.0,668,IT Services & Consulting | 1k-5k Employees | 24 years old | Westborough +10 more
916,Punjab National Bank,4.0,668,Banking | 1 Lakh+ Employees | Fortune India 500 | 129 years old | Delhi/NCR +148 more
917,C&S Electric,3.9,667,Electrical Equipment | 5k-10k Employees | 57 years old | Delhi/NCR +43 more
918,CenturyPly,4.0,665,Furniture & Furnishing | 1k-5k Employees | Public | 37 years old | Kolkata +82 more
919,Secure Meters,4.1,665,Electronics Manufacturing | 1k-5k Employees | Public | 36 years old | Udaipur +55 more
920,GEP Worldwide,3.9,664,IT Services & Consulting | 1k-5k Employees | 24 years old | Clark +8 more
921,Egis  India Consulting Engineers,4.1,664,Engineering & Construction | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +91 more
922,Bajaj Housing Finance,3.8,664,NBFC | 1k-5k Employees | 15 years old | Pune +107 more
923,Perfetti Van Melle,4.3,663,Food Processing | 1k-5k Employees | 22 years old | Lainate +106 more
924,CADD Centre Training Services,4.0,662,Education & Training | 1k-5k Employees | 35 years old | Chennai +122 more
925,Mahindra First Choice Wheels,3.9,662,Automobile | 201-500 Employees | 29 years old | Mumbai +101 more
926,LOREAL,4.2,661,Beauty & Personal Care | 1k-5k Employees | Forbes Global 2000 | 32 years old | Clichy +72 more
927,Genius Consultants,3.7,661,Recruitment | 201-500 Employees | 30 years old | Kolkata +71 more
928,Teva Pharmaceuticals,4.2,660,Pharma | 1k-5k Employees | Forbes Global 2000 | 44 years old | Dublin +30 more
929,Nykaa,3.5,660,Fitness & Wellness | 1k-5k Employees | Public | 11 years old | Mumbai +61 more
930,MakeMyTrip,3.8,660,Travel & Tourism | 1k-5k Employees | Public | 23 years old | Gurgaon +36 more
931,Dassault Systemes,4.1,658,Software Product | 1k-5k Employees | Forbes Global 2000 | 42 years old | Velizy-villacoublay +8 more
932,Colliers International,4.0,657,Real Estate | 1k-5k Employees | 28 years old | Ontario +33 more
933,MAHLE ANAND Filter Systems,4.2,657,Auto Components | 501-1k Employees | 18 years old | Stuttgart +24 more
934,Thomas Cook,3.8,655,Travel & Tourism | 1k-5k Employees | Public | 142 years old | Mumbai +74 more
935,Diageo,4.1,655,Beverage | 1k-5k Employees | Public | 26 years old | London +71 more
936,TEKsystems,3.7,655,IT Services & Consulting | 1k-5k Employees | 40 years old | Hanover +8 more
937,Syngenta,4.3,653,Agriculture | 501-1k Employees | 23 years old | Basel +119 more
938,Reliance AJIO,3.7,653,Internet | 1k-5k Employees | 7 years old | Bengaluru +171 more
939,Nippon Paint India,4.0,652,Chemicals | 1k-5k Employees | Forbes Global 2000 | 142 years old | Osaka +93 more
940,INDO-MIM,4.2,651,Industrial Machinery | 1k-5k Employees | 25 years old | Bangalore/Bengaluru +15 more
941,Exela Technologies,3.4,651,IT Services & Consulting | 1k-5k Employees | 12 years old | Irving +14 more
942,Medplus(optival Health Solutions),3.6,651,501-1k Employees | Fortune India 500 | 17 years old | Hyderabad +66 more
943,Amazon Logistics,4.3,650,Logistics | 51-200 Employees | Hyderabad/Secunderabad +94 more
944,Brillio,3.6,649,IT Services & Consulting | 1k-5k Employees | 9 years old | Edison +9 more
945,C.R.I. Pumps,3.8,645,Industrial Machinery | 1k-5k Employees | 62 years old | Coimbatore +50 more
946,Ahluwalia Contracts India,4.0,644,Engineering & Construction | 1k-5k Employees | Public | 58 years old | Delhi/NCR +40 more
947,Ruchi Soya Industries,4.1,643,Food Processing | 1k-5k Employees | Public | 37 years old | Mumbai +100 more
948,Imperial Auto Industries,3.8,643,Automobile | 1k-5k Employees | Public | 54 years old | Faridabad +27 more
949,Jakson Group,3.9,641,Power | 1k-5k Employees | 76 years old | Noida +65 more
950,V5 Global Services,3.8,641,Recruitment | 10k-50k Employees | 18 years old | Delhi/NCR +125 more
951,Karur Vysya Bank,3.7,641,Banking | 5k-10k Employees | Public | 107 years old | Karur +115 more
952,FOCUS EDUMATICS,2.9,638,EdTech | 5k-10k Employees | 24 years old | Bangalore/Bengaluru +6 more
953,Huhtamaki,3.9,638,Packaging | 1k-5k Employees | 88 years old | Espoo +30 more
954,Marks & Spencer,4.2,637,Retail | 1k-5k Employees | Forbes Global 2000 | 139 years old | London +52 more
955,Better.com,3.0,637,Financial Services | 201-500 Employees | Startup | 7 years old | New York City +4 more
956,Pernod Ricard,3.8,636,Beverage | 1k-5k Employees | Forbes Global 2000 | 48 years old | Paris +85 more
957,JTEKT,4.2,634,Auto Components | 501-1k Employees | Public | 17 years old | Osaka +19 more
